route,airline,average_fare,median_fare,minimum_fare,maximum_fare,observations,average_duration_minutes,average_stops
COK-GOI,IndiGo,20951.0,20951.0,20951.0,20951.0,1,580.0,1.0
COK-MAA,"Etihad, Akasa Air",72786.0,72786.0,72786.0,72786.0,1,990.0,1.0
COK-PNQ,IndiGo,17246.333333333332,15570.0,14929.0,21240.0,3,393.3333333333333,1.0
COK-PNQ,Air India Express,26270.0,26270.0,26270.0,26270.0,1,115.0,0.0
DEL-AMD,IndiGo,13417.333333333334,13725.5,11325.0,15101.0,6,92.5,0.0
DEL-AMD,Air India,15361.2,14652.5,11770.0,22281.0,10,99.5,0.0
DEL-BLR,Air India Express,17576.5,17576.5,17166.0,17987.0,2,175.0,0.0
DEL-BLR,Akasa Air,17787.428571428572,17436.0,17436.0,19224.0,7,175.71428571428572,0.0
DEL-BLR,IndiGo,17860.777777777777,17820.0,16878.0,19464.0,9,175.0,0.0
DEL-BLR,Air India,18099.928571428572,18077.0,16982.0,19554.0,14,172.5,0.0
DEL-BOM,IndiGo,12855.2,12771.0,12771.0,13139.0,10,137.0,0.0
DEL-BOM,Air India,12971.857142857143,12765.0,12655.0,14393.0,14,144.64285714285714,0.0
DEL-BOM,Air India Express,13012.333333333334,12956.0,12956.0,13125.0,3,146.66666666666666,0.0
DEL-BOM,Akasa Air,13841.8,13226.0,13226.0,14913.0,5,142.0,0.0
DEL-BOM,SpiceJet,25949.0,25949.0,25949.0,25949.0,2,160.0,0.0
DEL-CCU,IndiGo,17289.583333333332,17479.5,15717.0,18786.0,12,219.16666666666666,0.3333333333333333
DEL-CCU,Akasa Air,17989.5,17989.5,17740.0,18239.0,2,140.0,0.0
DEL-CCU,Air India,19593.166666666668,18153.0,17525.0,25868.0,6,138.33333333333334,0.0
DEL-CCU,SpiceJet,21609.0,21609.0,17002.0,26216.0,2,140.0,0.0
DEL-COK,Air India Express,25841.6,26058.0,24380.0,26869.0,5,424.0,0.6
DEL-COK,Air India,26161.5,25113.0,24187.0,29889.0,6,258.3333333333333,0.16666666666666666
DEL-COK,"Air India Express, Air India",29672.0,29672.0,29672.0,29672.0,1,550.0,1.0
DEL-COK,"Air India, Air India Express",30367.0,30367.0,30367.0,30367.0,1,485.0,1.0
DEL-COK,IndiGo,34201.5,34201.5,23804.0,44599.0,2,270.0,0.5
DEL-GOI,Air India Express,20612.333333333332,20039.0,19341.0,22457.0,3,386.6666666666667,0.3333333333333333
DEL-GOI,Air India,26499.8,25800.0,20506.0,31245.0,5,501.0,0.6
DEL-GOI,IndiGo,27355.428571428572,20879.0,18569.0,46819.0,7,257.85714285714283,0.42857142857142855
DEL-GOI,"Air India Express, Air India",31533.333333333332,29431.0,27902.0,37267.0,3,788.3333333333334,1.0
DEL-HYD,IndiGo,16578.88888888889,16799.0,15910.0,17275.0,9,202.22222222222223,0.3333333333333333
DEL-HYD,Air India,16935.166666666668,16997.0,16737.0,16997.0,6,140.0,0.0
DEL-HYD,Akasa Air,17483.0,17537.0,17375.0,17537.0,3,146.66666666666666,0.0
DEL-MAA,Air India,18939.875,18652.0,17902.0,21553.0,8,214.375,0.25
DEL-MAA,IndiGo,27311.85714285714,19130.0,19130.0,52632.0,7,247.85714285714286,0.42857142857142855
DEL-PNQ,IndiGo,15793.25,15458.0,14268.0,19166.0,8,125.625,0.0
DEL-PNQ,Air India Express,15936.0,14919.0,14919.0,17970.0,3,145.0,0.0
DEL-PNQ,Akasa Air,16183.5,16183.5,14624.0,17743.0,2,135.0,0.0
DEL-PNQ,SpiceJet,17143.0,17143.0,17143.0,17143.0,1,150.0,0.0
DEL-PNQ,Air India,17989.0,13966.0,13861.0,31397.0,8,132.5,0.0
GOI-AMD,Air India,29990.0,29990.0,29990.0,29990.0,1,620.0,1.0
GOI-BLR,IndiGo,11359.0,11359.0,11359.0,11359.0,1,80.0,0.0
